ID_encrypt,Start_Date,End_Date,1st_choice_elective_MW,2ndchoice_elective_MW,1st_choice_elective_TTh,2ndchoice_elective_TTh,Quarter
0x01FBC7D71E7AC69762F59414D674456EE1F85F2C566E9FDBD69D218979075ECC67FED25E4625F7CB9B9277F829FFC0D9BD44A62160311B95D3EB9AB79354DF20E2,7/19/2016 19:43,7/19/2016 19:46,Active Listening and Speaking,Public Speaking,IELTS Preparation,American Idioms and Slang,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x016CBB3FED0DF4065CB0D2313C9AD36AECF5ACD0F73281A0791A417E8BFF91403DF4ABBC4EEB13AE527B6EAFBB68F9560F5380139527175485438B308CE377D211,7/19/2016 16:25,7/19/2016 20:56,Business English,Active Listening and Speaking,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x010ABBD233BFB8BB2D94CA14E6C8D05A0D1CCB7B79645F57F39FD3D1D5E3B8D9EDD52C7397C0CB897465EA6CDA85A715AC734045C6A5BD417B16016C5D34C4E6C4,7/19/2016 16:24,7/19/2016 16:26,Active Listening and Speaking,Public Speaking,IELTS Preparation,TOEFL Preparation,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x01B4CF20792E57A8908F952487203F5F3C45778043DE2B843154F36893EE2BBD90D1B8182C139460A1A71A45728999A81A975C49CBC2EA93500C100F9018357E52,7/19/2016 9:59,7/19/2016 10:00,Active Listening and Speaking,Public Speaking,American Pronunciation,American Idioms and Slang,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x01FE5C2FBFCB0D8C9763EFF4DE0276E4E6370E5FBE8393F8504DE667799D706676AC36DD524EC2C73CF930BF4DBA75D73212E0DFE643323EE32F69127699FE6D6B,7/18/2016 18:22,7/18/2016 20:04,Active Listening and Speaking,English Through Movies,TOEFL Preparation,American Idioms and Slang,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x01DB44BB11244D62AD52F50A4189DBBF4D4CE61526280DC0B32EFD5D403CC93DEB59E0A7B9BF1760F42E7A8DC91B9C3221D34F528F3C62560F6528B24CD0ED5129,7/18/2016 17:23,7/25/2016 19:58,Active Listening and Speaking,Grammar In Use,Word Play (Academic Vocabulary Development),TOEFL Preparation,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x019C8F8A199E6D9C51D89915E3967629C415E7090A14650956A886C025BA2515655B585E3C2D3932470329A74F83708611D3233F8AB71F123545EAC016C38063EC,7/18/2016 16:44,7/18/2016 16:46,English Through Movies,Active Listening and Speaking,IELTS Preparation,Current Events,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x018053101DBAE7AE1F28322116A2860255C8DAA05F80FA583113FB223784A69260A4DC7A1BD3F0931460DD3967D6F2A6869DAED7DAB735B51DDDE3837B959143BA,7/18/2016 12:26,7/18/2016 12:27,Public Speaking,Business English,American Idioms and Slang,American Idioms and Slang,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x01414CA0BF40A6485B681757DAACD7612E32D57E95BF94BB5BA366B687D6CAE3F3930D5A3633F4B9F0D71BE76D030D7DB0D6E2474CBCA8279C45D35AFE4B5DF15F,7/18/2016 12:24,7/18/2016 12:26,Active Listening and Speaking,English Through Movies,American Idioms and Slang,English Through Drama,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x01D17336310AAD233EAF9D01024BD7394957D0392052FC979E30AED560ECCC7224891F1551BB5584331289A25271AD4E92720263431F7A220176ADDCBA5590FAAA,7/18/2016 9:00,7/18/2016 9:04,English Through Movies,Active Listening and Speaking,American Idioms and Slang,American Pronunciation,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x017D5FD38B7798782C8E4E70D05621C47568BB71B3461F986A56979ED5BC912F29F6388EF22FF9BEA26851D9F9E8F6091F1738244D71039DAE6B35426E748BC635,7/17/2016 22:35,7/17/2016 22:38,Business English,Active Listening and Speaking,American Pronunciation,American Idioms and Slang,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x01BEEB4AF70CEC7EAA9B43C9BE7DCE4A78C9D669EBC76725AD444C585705434D9A50B5CFB9C45C78E9F4FE2754A37A7980DFB4C7393E61C662FDD3AED797646E68,7/16/2016 13:48,7/16/2016 14:05,Public Speaking,Grammar In Use,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x01E6F7AB55EE432CE9FB531B9A3F3E773996B7A4D0BCB1BA3090AC2DD6B70EFD722E4E5F62BDC6EA186AB17CADA49A33167A03EEB244CEA34F307437E93CF151A9,7/15/2016 22:40,7/15/2016 22:44,Active Listening and Speaking,Grammar In Use,American Idioms and Slang,English Through Drama,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x017701C70F859BCCCB18154057BBA1F58C986E317B10116C6DB11E72A7AC8DA2BFE7796334E15BF4FE23955F134C9074EB79B4C1986468B17E4455CF07648A92FA,7/15/2016 18:29,7/15/2016 18:31,Active Listening and Speaking,English Through Movies,American Pronunciation,IELTS Preparation,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x0111215FFB69CE64CCA8E65AB9D174217EECF8CDA228BE8516031F0209E69C31D8665EAE1C9AFEF2D7127809E6AFC87A6CABA24E4D0AF3F51710182E898426AA21,7/15/2016 16:29,7/15/2016 16:31,Grammar In Use,English Through Movies,Word Play (Academic Vocabulary Development),TOEFL Preparation,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x0108455AC93E1591FD7A0399B0EEF51EBB1F98D56E04562DDF2168F3919F6F22A7246A554E0D9D161B51A2A7D6BAC907BE7EFDF39BB67401D04A228A667060AF55,7/15/2016 14:18,7/15/2016 14:20,Business English,Active Listening and Speaking,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x01239A1B77FDC4F221BFEE83741CE51C4283EF613CBBDA07AED7C5B8951DD137540B62FB29B344DC4A7C00885BDB863362867389969B5EA0DDD7F35451B366D054,7/15/2016 11:20,7/17/2016 18:26,Business English,English Through Movies,American Idioms and Slang,English Through Drama,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x0159422D72AE100C910A8C4234E9A2B879735E3EB0A7A17A64F1DCC0DC4F874ED1A12B805013BCB0BE6BB3FC48929EB060C9E3401E18D6ED996FB4E62AAD7CB321,7/15/2016 9:50,7/15/2016 12:06,English Through Movies,Active Listening and Speaking,Current Events,American Pronunciation,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x01C04C19838628116C037950033D2EA8714713DA2DE2805B9EA69BAA042A0722FE2714626FDBC4D8B99EA21900A8AE753137B5BF57D7637F4361D86AC0214CE11F,7/15/2016 10:58,7/15/2016 11:11,Grammar In Use,Active Listening and Speaking,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x016DF0CAE00A5FB27631EA7EBB7E13BD66D83F247703DAB1697EF5229BA258F9AFCA4EF15C6957D3DBB1BEE2D91735CF21A2AB5C8558B37910E6E5D3F562A4E458,7/15/2016 9:29,7/18/2016 17:23,Public Speaking,English Through Movies,IELTS Preparation,IELTS Preparation,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
